SF,Otto Porter,22,"6' 7""",196,3/6/93,Chicago Bulls
SF,Denzel Valentine,45,"6' 3""",209,11/16/93,Chicago Bulls
SF,Chandler Hutchison,15,"6' 7""",194,4/26/96,Chicago Bulls
PF,Lauri Markkanen,24,"6' 11""",238,5/22/97,Chicago Bulls
PF,Thaddeus Young,21,"6' 7""",218,6/21/88,Chicago Bulls
C,Wendell Carter Jr.,34,"6' 9""",257,4/16/99,Chicago Bulls
C,Daniel Gafford,12,"6' 9""",233,1/10/98,Chicago Bulls
C,Luke Kornet,2,"7' 1""",238,7/15/95,Chicago Bulls
C,Cristiano Felicio,6,"6' 9""",268,7/7/92,Chicago Bulls
PG,Collin Sexton,2,"6' 0""",189,4/1/99,Cleveland Cavaliers
PG,Darius Garland,10,"6' 0""",174,1/26/00,Cleveland Cavaliers
PG,Dante Exum,1,"6' 5""",189,7/13/95,Cleveland Cavaliers
PG,Matthew Dellavedova,18,"6' 2""",198,8/9/90,Cleveland Cavaliers
SG,Matt Mooney,3,"6' 2""",198,7/2/97,Cleveland Cavaliers
SF,Cedi Osman,16,"6' 7""",213,8/4/95,Cleveland Cavaliers
SF,Kevin Porter Jr.,4,"6' 3""",213,4/5/00,Cleveland Cavaliers
SF,Alfonzo McKinnie,28,"6' 7""",213,9/17/92,Cleveland Cavaliers
PF,Dean Wade,32,"6' 9""",227,11/20/96,Cleveland Cavaliers
C,Andre Drummond,3,"6' 9""",277,10/8/93,Cleveland Cavaliers
C,Kevin Love,0,"6' 7""",213,7/9/88,Cleveland Cavaliers
C,Tristan Thompson,13,"6' 9""",235,3/13/91,Cleveland Cavaliers
C,Larry Nance Jr.,22,"6' 7""",229,1/1/93,Cleveland Cavaliers
C,Ante Zizic,41,"6' 9""",253,4/1/97,Cleveland Cavaliers
GF,Dylan Windler,,"6' 5""",194,9/22/96,Cleveland Cavaliers
PG,Luka Doncic,77,"6' 7""",216,2/28/99,Dallas Mavericks
PG,Seth Curry,31,"6' 2""",182,8/23/90,Dallas Mavericks
PG,Jalen Brunson,13,"6' 0""",189,8/31/96,Dallas Mavericks
PG,J.J. Barea,5,"5' 10""",182,6/26/84,Dallas Mavericks
PG,Delon Wright,55,"6' 5""",182,4/26/92,Dallas Mavericks
SG,Tim Hardaway Jr.,11,"6' 5""",202,3/16/92,Dallas Mavericks
SG,Courtney Lee,1,"6' 5""",213,3/10/85,Dallas Mavericks
SG,Josh Reaves,23,"6' 3""",213,4/6/97,Dallas Mavericks
SG,Antonius Cleveland,3,"6' 5""",194,2/2/94,Dallas Mavericks
PF,Kristaps Porzingis,6,"7' 3""",238,2/8/95,Dallas Mavericks
PF,Dorian Finney-Smith,10,"6' 7""",218,4/5/93,Dallas Mavericks
PF,Justin Jackson,44,"6' 7""",209,3/28/95,Dallas Mavericks
PF,Michael Kidd-Gilchrist,14,"6' 5""",231,9/26/93,Dallas Mavericks
C,Dwight Powell,7,"6' 9""",238,7/20/91,Dallas Mavericks
C,Maxi Kleber,42,"6' 9""",238,1/29/92,Dallas Mavericks
C,Boban Marjanovic,51,"7' 4""",288,8/15/88,Dallas Mavericks
C,Willie Cauley-Stein,33,"6' 11""",238,8/18/93,Dallas Mavericks
PG,Jamal Murray,27,"6' 3""",200,2/23/97,Denver Nuggets
PG,Jordan McRae,52,"6' 5""",178,3/28/91,Denver Nuggets
PG,Monte Morris,11,"6' 2""",174,6/27/95,Denver Nuggets
PG,PJ Dozier,35,"6' 5""",202,10/25/96,Denver Nuggets
SG,Gary Harris,14,"6' 3""",202,9/14/94,Denver Nuggets
SF,Will Barton,5,"6' 5""",174,6/1/91,Denver Nuggets
SF,Torrey Craig,3,"6' 7""",213,12/19/90,Denver Nuggets
SF,Keita Bates-Diop,6,"6' 7""",227,1/23/96,Denver Nuggets
SF,Vlatko Cancar,31,"6' 7""",209,10/4/97,Denver Nuggets
PF,Paul Millsap,4,"6' 7""",249,10/2/85,Denver Nuggets
PF,Michael Porter Jr.,1,"6' 9""",213,6/29/98,Denver Nuggets
PF,Jerami Grant,9,"6' 7""",213,12/3/94,Denver Nuggets
C,Nikola Jokic,15,"6' 11""",251,2/19/95,Denver Nuggets
C,Mason Plumlee,7,"6' 11""",235,5/3/90,Denver Nuggets
C,Noah Vonleh,1,"6' 9""",255,8/24/95,Denver Nuggets
C,Bol Bol,,"7' 1""",233,11/16/99,Denver Nuggets
PG,Stephen Curry,30,"6' 2""",189,3/14/88,Golden State Warriors
PG,Ky Bowman,12,"6' 0""",180,6/16/97,Golden State Warriors
PG,Jeremy Pargo,20,"6' 2""",218,3/17/86,Golden State Warriors
SG,Damion Lee,1,"6' 5""",209,10/21/92,Golden State Warriors
SG,Jordan Poole,3,"6' 3""",194,6/19/99,Golden State Warriors
SG,Klay Thompson,11,"6' 5""",213,8/2/90,Golden State Warriors
SG,Zach Norvell,21,"6' 5""",205,9/12/97,Golden State Warriors
SG,Mychal Mulder,,"6' 3""",182,12/6/94,Golden State Warriors
SF,Andrew Wiggins,22,"6' 7""",191,2/23/95,Golden State Warriors
SF,Juan Toscano-Anderson,95,"6' 5""",213,10/4/93,Golden State Warriors
PF,Draymond Green,23,"6' 5""",229,4/3/90,Golden State Warriors
PF,Marquese Chriss,32,"6' 9""",238,2/7/97,Golden State Warriors
PF,Eric Paschall,7,"6' 5""",253,4/11/96,Golden State Warriors
PF,Alen Smailagic,6,"6' 9""",213,8/18/00,Golden State Warriors
PF,Dragan Bender,17,"6' 11""",224,11/17/97,Golden State Warriors
C,Kevon Looney,5,"6' 9""",218,6/2/96,Golden State Warriors
PG,Langston Galloway,9,"6' 0""",198,9/12/91,Detroit Pistons
PG,Derrick Rose,25,"6' 2""",198,4/10/88,Detroit Pistons
PG,Brandon Knight,20,"6' 2""",194,2/12/91,Detroit Pistons
PG,Jordan Bone,18,"6' 2""",178,5/11/97,Detroit Pistons
SG,Luke Kennard,5,"6' 5""",205,6/24/96,Detroit Pistons
SG,Bruce Brown,6,"6' 3""",200,8/15/96,Detroit Pistons
SG,Khyri Thomas,13,"6' 2""",209,8/5/96,Detroit Pistons
SF,Sviatoslav Mykhailiuk,19,"6' 7""",202,10/6/97,Detroit Pistons
SF,Sekou Doumbouya,45,"6' 7""",207,12/23/00,Detroit Pistons
SF,Tony Snell,17,"6' 5""",211,10/11/91,Detroit Pistons
SF,Louis King,14,"6' 7""",194,6/4/99,Detroit Pistons
PF,Blake Griffin,23,"6' 9""",249,3/16/89,Detroit Pistons
PF,Christian Wood,35,"6' 9""",213,9/27/95,Detroit Pistons
C,Thon Maker,7,"6' 11""",220,2/25/97,Detroit Pistons
C,John Henson,31,"6' 9""",218,12/28/90,Detroit Pistons
PG,James Harden,13,"6' 5""",218,8/26/89,Houston Rockets
PG,Russell Westbrook,0,"6' 2""",198,12/11/88,Houston Rockets
PG,Eric Gordon,10,"6' 2""",213,12/25/88,Houston Rockets
PG,Austin Rivers,25,"6' 2""",198,1/8/92,Houston Rockets
SG,Ben McLemore,16,"6' 2""",194,11/2/93,Houston Rockets
SG,Chris Clemons,3,"5' 8""",178,7/23/97,Houston Rockets
SG,Michael Frazier,21,"6' 2""",198,8/3/94,Houston Rockets
SG,William Howard,52,"6' 7""",202,10/25/93,Houston Rockets
SF,Danuel House,4,"6' 5""",213,7/6/93,Houston Rockets
SF,Bruno Caboclo,5,"6' 9""",216,9/21/95,Houston Rockets
PF,Robert Covington,8,"6' 7""",209,12/14/90,Houston Rockets
PF,P.J. Tucker,17,"6' 5""",244,5/5/85,Houston Rockets
PF,Jeff Green,22,"6' 7""",233,8/28/86,Houston Rockets
PF,DeMarre Carroll,77,"6' 5""",213,7/27/86,Houston Rockets
PF,Thabo Sefolosha,18,"6' 5""",218,2/5/84,Houston Rockets
C,Isaiah Hartenstein,55,"6' 11""",246,5/5/98,Houston Rockets
C,Tyson Chandler,19,"6' 11""",238,2/10/82,Houston Rockets
PG,Victor Oladipo,4,"6' 3""",209,4/5/92,Indiana Pacers
PG,Malcolm Brogdon,7,"6' 5""",227,11/12/92,Indiana Pacers
PG,Aaron Holiday,3,"6' 0""",182,9/30/96,Indiana Pacers
PG,T.J. McConnell,9,"6' 0""",189,3/25/92,Indiana Pacers
PG,Edmond Sumner,5,"6' 3""",174,12/31/95,Indiana Pacers
SG,Justin Holiday,8,"6' 5""",180,5/4/89,Indiana Pacers
SG,Brian Bowen,10,"6' 5""",189,2/10/98,Indiana Pacers
SG,Naz Mitrou-Long,15,"6' 2""",216,3/8/93,Indiana Pacers
SF,T.J. Warren,1,"6' 7""",213,5/9/93,Indiana Pacers
SF,Jeremy Lamb,26,"6' 5""",182,5/30/92,Indiana Pacers
SF,JaKarr Sampson,14,"6' 7""",213,3/20/93,Indiana Pacers
PF,T.J. Leaf,22,"6' 9""",224,4/30/97,Indiana Pacers
PF,Doug McDermott,20,"6' 7""",224,3/1/92,Indiana Pacers
PF,Alize Johnson,24,"6' 7""",211,4/22/96,Indiana Pacers
C,Domantas Sabonis,11,"6' 11""",238,3/5/96,Indiana Pacers
C,Myles Turner,33,"6' 11""",249,3/24/96,Indiana Pacers
C,Goga Bitadze,88,"6' 11""",244,7/20/99,Indiana Pacers
PG,Reggie Jackson,1,"6' 2""",207,4/16/90,Los Angeles Clippers
PG,Patrick Beverley,21,"6' 0""",182,12/7/88,Los Angeles Clippers
PG,Lou Williams,23,"6' 0""",174,10/27/86,Los Angeles Clippers
SG,Landry Shamet,20,"6' 3""",187,3/13/97,Los Angeles Clippers
SG,Rodney McGruder,19,"6' 3""",198,7/29/91,Los Angeles Clippers
SG,Terance Mann,14,"6' 5""",213,10/18/96,Los Angeles Clippers
SG,Amir Coffey,7,"6' 7""",202,6/17/97,Los Angeles Clippers
SF,Kawhi Leonard,2,"6' 7""",229,6/29/91,Los Angeles Clippers
SF,Paul George,13,"6' 7""",218,2/5/90,Los Angeles Clippers
PF,Marcus Morris,31,"6' 7""",233,2/9/89,Los Angeles Clippers
PF,JaMychal Green,4,"6' 7""",224,6/21/90,Los Angeles Clippers
PF,Patrick Patterson,54,"6' 7""",229,3/14/89,Los Angeles Clippers
PF,Johnathan Motley,15,"6' 7""",229,4/5/95,Los Angeles Clippers
C,Ivica Zubac,40,"6' 11""",238,3/18/97,Los Angeles Clippers
C,Montrezl Harrell,5,"6' 7""",238,1/26/94,Los Angeles Clippers
C,Mfiondu Kabengele,25,"6' 9""",249,8/14/97,Los Angeles Clippers
PG,Avery Bradley,11,"6' 2""",178,11/26/90,Los Angeles Lakers
PG,Rajon Rondo,9,"6' 0""",185,2/22/86,Los Angeles Lakers
PG,Quinn Cook,28,"6' 0""",178,3/23/93,Los Angeles Lakers
PG,Alex Caruso,4,"6' 5""",185,2/28/94,Los Angeles Lakers
SG,Danny Green,14,"6' 5""",213,6/22/87,Los Angeles Lakers
SG,K. Caldwell-Pope,1,"6' 5""",202,2/18/93,Los Angeles Lakers
SG,Troy Daniels,30,"6' 3""",202,7/15/91,Los Angeles Lakers
SG,Talen Horton-Tucker,5,"6' 3""",233,11/25/00,Los Angeles Lakers
PF,LeBron James,23,"6' 9""",249,12/30/84,Los Angeles Lakers
PF,Kyle Kuzma,0,"6' 7""",218,7/24/95,Los Angeles Lakers
PF,Jared Dudley,10,"6' 5""",235,10/7/85,Los Angeles Lakers
PF,Markieff Morris,88,"6' 7""",244,2/9/89,Los Angeles Lakers
PF,Kostas Antetokounmpo,37,"6' 9""",198,11/20/97,Los Angeles Lakers
PF,Devontae Cacok,,"6' 7""",238,8/10/96,Los Angeles Lakers
C,Anthony Davis,3,"6' 9""",251,11/3/93,Los Angeles Lakers
C,JaVale McGee,7,"6' 11""",268,1/19/88,Los Angeles Lakers
C,Dwight Howard,39,"6' 9""",264,8/12/85,Los Angeles Lakers
PG,Ja Morant,12,"6' 2""",174,10/8/99,Memphis Grizzlies
PG,Tyus Jones,21,"6' 0""",194,10/5/96,Memphis Grizzlies
PG,De'Anthony Melton,0,"6' 2""",198,5/28/98,Memphis Grizzlies
SG,Grayson Allen,3,"6' 3""",196,8/10/95,Memphis Grizzlies
SG,John Konchar,46,"6' 5""",209,3/22/96,Memphis Grizzlies
SG,Marko Guduric,23,"6' 5""",200,8/3/95,Memphis Grizzlies
SF,Dillon Brooks,24,"6' 7""",218,1/22/96,Memphis Grizzlies
SF,Josh Jackson,20,"6' 7""",205,10/2/97,Memphis Grizzlies
SF,Yuta Watanabe,18,"6' 7""",202,10/13/94,Memphis Grizzlies
PF,Justise Winslow,20,"6' 5""",224,3/26/96,Memphis Grizzlies
PF,Brandon Clarke,15,"6' 7""",209,9/19/96,Memphis Grizzlies
PF,Kyle Anderson,1,"6' 9""",229,9/20/93,Memphis Grizzlies
PF,Anthony Tolliver,43,"6' 7""",238,1/6/85,Memphis Grizzlies
C,Jonas Valanciunas,17,"6' 11""",264,6/5/92,Memphis Grizzlies
C,Jaren Jackson Jr.,13,"6' 11""",240,9/15/99,Memphis Grizzlies
C,Gorgui Dieng,5,"6' 9""",251,1/18/90,Memphis Grizzlies
C,Jordan Bell,7,"6' 7""",213,7/1/95,Memphis Grizzlies
PG,Goran Dragic,7,"6' 2""",189,6/5/86,Miami Heat
PG,Gabe Vincent,2,"6' 2""",198,6/14/96,Miami Heat
SG,Kendrick Nunn,25,"6' 2""",189,3/8/95,Miami Heat
SG,Tyler Herro,14,"6' 5""",198,1/20/00,Miami Heat
SF,Jimmy Butler,22,"6' 7""",229,9/14/89,Miami Heat
SF,Derrick Jones Jr.,5,"6' 5""",209,2/15/97,Miami Heat
SF,Andre Iguodala,28,"6' 5""",213,1/28/84,Miami Heat
SF,Jae Crowder,99,"6' 5""",233,6/7/90,Miami Heat
SF,Solomon Hill,44,"6' 5""",224,3/18/91,Miami Heat
SF,KZ Okpala,4,"6' 7""",213,4/28/99,Miami Heat
PF,Duncan Robinson,55,"6' 7""",213,4/22/94,Miami Heat
PF,Chris Silva,30,"6' 7""",229,9/19/96,Miami Heat
PF,Kyle Alexander,45,"6' 11""",220,10/21/96,Miami Heat
C,Bam Adebayo,13,"6' 9""",253,7/18/97,Miami Heat
C,Meyers Leonard,0,"6' 11""",257,2/27/92,Miami Heat
C,Kelly Olynyk,9,"6' 11""",238,4/19/91,Miami Heat
C,Udonis Haslem,40,"6' 7""",233,9/6/80,Miami Heat
PG,Eric Bledsoe,6,"6' 0""",202,9/12/89,Milwaukee Bucks
PG,George Hill,3,"6' 2""",187,4/5/86,Milwaukee Bucks
PG,Frank Mason III,15,"5' 10""",189,3/4/94,Milwaukee Bucks
SG,Donte DiVincenzo,0,"6' 3""",202,1/31/97,Milwaukee Bucks
SG,Pat Connaughton,24,"6' 5""",207,6/1/93,Milwaukee Bucks
SG,Cameron Reynolds,13,"6' 7""",224,7/2/95,Milwaukee Bucks
SF,Khris Middleton,22,"6' 7""",220,12/8/91,Milwaukee Bucks
SF,Wesley Matthews,9,"6' 3""",218,10/14/86,Milwaukee Bucks
SF,Sterling Brown,23,"6' 5""",231,10/2/95,Milwaukee Bucks
SF,Thanasis Antetokounmpo,43,"6' 5""",202,7/18/92,Milwaukee Bucks
PF,Giannis Antetokounmpo,34,"6' 11""",240,6/12/94,Milwaukee Bucks
PF,Ersan Ilyasova,7,"6' 9""",233,5/15/87,Milwaukee Bucks
PF,Marvin Williams,2,"6' 7""",235,6/19/86,Milwaukee Bucks
